data;hhi
01/01/2022;0,38
01/02/2022;0,36
01/03/2022;0,35
01/04/2022;0,33
01/05/2022;0,33
01/06/2022;0,32
01/07/2022;0,3
01/08/2022;0,3
01/09/2022;0,3
01/10/2022;0,26
01/11/2022;0,26
01/12/2022;0,26
01/01/2023;0,21
01/02/2023;0,21
01/03/2023;0,21
01/04/2023;0,21
01/05/2023;0,21
01/06/2023;0,21
01/07/2023;0,16
01/08/2023;0,16
01/09/2023;0,16
01/10/2023;0,16
01/11/2023;0,16
01/12/2023;0,27
01/01/2024;0,5
01/02/2024;0,51
01/03/2024;0,5
01/04/2024;0,5
01/05/2024;0,5
01/06/2024;0,5
01/07/2024;0,51
01/08/2024;0,51
01/09/2024;0,51
01/10/2024;0,51
01/11/2024;0,51
01/12/2024;0,51
01/01/2025;0,6
01/02/2025;0,6
01/03/2025;0,6
01/04/2025;0,6
01/05/2025;0,6
01/06/2025;0,6
01/07/2025;0,6
01/08/2025;0,6
01/09/2025;0,6
01/10/2025;0,6
01/11/2025;0,6
01/12/2025;0,6
01/01/2026;0,55
01/02/2026;0,55
01/03/2026;0,55
01/04/2026;0,55
01/05/2026;0,55
01/06/2026;0,55
01/07/2026;0,55
01/08/2026;0,55
01/09/2026;0,55
01/10/2026;0,55
01/11/2026;0,55
01/12/2026;0,55
01/01/2027;0,56
01/02/2027;0,56
01/03/2027;0,56
01/04/2027;0,57
01/05/2027;0,57
01/06/2027;0,57
01/07/2027;0,58
01/08/2027;0,58
01/09/2027;0,58
01/10/2027;0,58
01/11/2027;0,58
01/12/2027;0,58
01/01/2028;0,58
01/02/2028;0,58
01/03/2028;0,58
01/04/2028;0,58
01/05/2028;0,58
01/06/2028;0,58
01/07/2028;0,58
01/08/2028;0,58
01/09/2028;0,58
01/10/2028;0,58
01/11/2028;0,58
01/12/2028;0,58
01/01/2029;0,58
01/02/2029;0,58
01/03/2029;0,58
01/04/2029;0,58
01/05/2029;0,58
01/06/2029;0,58
01/07/2029;0,58
01/08/2029;0,58
01/09/2029;0,58
01/10/2029;0,58
01/11/2029;0,58
01/12/2029;0,58
01/01/2030;0,58
01/02/2030;0,58
01/03/2030;0,58
01/04/2030;0,58
01/05/2030;0,58
01/06/2030;0,58
01/07/2030;0,58
01/08/2030;0,58
01/09/2030;0,58
01/10/2030;0,58
01/11/2030;0,58
01/12/2030;0,58
01/01/2031;0,57
01/02/2031;0,57
01/03/2031;0,57
01/04/2031;0,57
01/05/2031;0,57
01/06/2031;0,57
01/07/2031;0,57
01/08/2031;0,57
01/09/2031;0,57
01/10/2031;0,57
01/11/2031;0,57
01/12/2031;0,57
01/01/2032;0,58
01/02/2032;0,58
01/03/2032;0,58
01/04/2032;0,58
01/05/2032;0,58
01/06/2032;0,58
01/07/2032;0,58
01/08/2032;0,58
01/09/2032;0,58
01/10/2032;0,58
01/11/2032;0,58
01/12/2032;0,58
01/01/2033;0,59
01/02/2033;0,59
01/03/2033;0,59
01/04/2033;0,59
01/05/2033;0,59
01/06/2033;0,59
01/07/2033;0,8
01/08/2033;0,8
01/09/2033;0,8
01/10/2033;0,8
01/11/2033;0,8
01/12/2033;0,8
01/01/2034;0,86
01/02/2034;0,86
01/03/2034;0,86
01/04/2034;0,86
01/05/2034;0,86
01/06/2034;0,86
01/07/2034;0,86
01/08/2034;0,86
01/09/2034;0,86
01/10/2034;0,86
01/11/2034;0,86
01/12/2034;0,86
