data;qdc
01/01/2022;440652,17
01/02/2022;457800
01/03/2022;429629,63
01/04/2022;400333,33
01/05/2022;400333,33
01/06/2022;390483,87
01/07/2022;386363,64
01/08/2022;386969,7
01/09/2022;377058,82
01/10/2022;387916,67
01/11/2022;377702,7
01/12/2022;377702,7
01/01/2023;345046,51
01/02/2023;345046,51
01/03/2023;338113,64
01/04/2023;338113,64
01/05/2023;338113,64
01/06/2023;338113,64
01/07/2023;398521,74
01/08/2023;391319,15
01/09/2023;393659,57
01/10/2023;385666,67
01/11/2023;385666,67
01/12/2023;504240
01/01/2024;502012,35
01/02/2024;521787,5
01/03/2024;509287,5
01/04/2024;506467,45
01/05/2024;505067,34
01/06/2024;504367,44
01/07/2024;507488,18
01/08/2024;507488,18
01/09/2024;507488,18
01/10/2024;507488,18
01/11/2024;507488,18
01/12/2024;507488,18
01/01/2025;529978,91
01/02/2025;529978,91
01/03/2025;533112,93
01/04/2025;533112,93
01/05/2025;533112,93
01/06/2025;533112,93
01/07/2025;533112,93
01/08/2025;533112,93
01/09/2025;533112,93
01/10/2025;533112,93
01/11/2025;533112,93
01/12/2025;535426,36
01/01/2026;511331
01/02/2026;511331
01/03/2026;511331
01/04/2026;511331
01/05/2026;511331
01/06/2026;511331
01/07/2026;511331
01/08/2026;511331
01/09/2026;511331
01/10/2026;511331
01/11/2026;511331
01/12/2026;511331
01/01/2027;502341,68
01/02/2027;502341,68
01/03/2027;502341,68
01/04/2027;508117,77
01/05/2027;514086,4
01/06/2027;514086,4
01/07/2027;529227,31
01/08/2027;529227,31
01/09/2027;529227,31
01/10/2027;529227,31
01/11/2027;529227,31
01/12/2027;529227,31
01/01/2028;538378,29
01/02/2028;538378,29
01/03/2028;538378,29
01/04/2028;538378,29
01/05/2028;538378,29
01/06/2028;538378,29
01/07/2028;538378,29
01/08/2028;538378,29
01/09/2028;538378,29
01/10/2028;538378,29
01/11/2028;538378,29
01/12/2028;538378,29
01/01/2029;531452,73
01/02/2029;531452,73
01/03/2029;531452,73
01/04/2029;531452,73
01/05/2029;531452,73
01/06/2029;531452,73
01/07/2029;531452,73
01/08/2029;531452,73
01/09/2029;531452,73
01/10/2029;531452,73
01/11/2029;531452,73
01/12/2029;531452,73
01/01/2030;519820,08
01/02/2030;519820,08
01/03/2030;519820,08
01/04/2030;519820,08
01/05/2030;519820,08
01/06/2030;519820,08
01/07/2030;519820,08
01/08/2030;519820,08
01/09/2030;519820,08
01/10/2030;519820,08
01/11/2030;519820,08
01/12/2030;519820,08
01/01/2031;541395,3
01/02/2031;541395,3
01/03/2031;541395,3
01/04/2031;541395,3
01/05/2031;541395,3
01/06/2031;541395,3
01/07/2031;541395,3
01/08/2031;541395,3
01/09/2031;541395,3
01/10/2031;541395,3
01/11/2031;541395,3
01/12/2031;541395,3
01/01/2032;571236,84
01/02/2032;571236,84
01/03/2032;571236,84
01/04/2032;571236,84
01/05/2032;571236,84
01/06/2032;571236,84
01/07/2032;571236,84
01/08/2032;571236,84
01/09/2032;571236,84
01/10/2032;571236,84
01/11/2032;571236,84
01/12/2032;571236,84
01/01/2033;635612,9
01/02/2033;635612,9
01/03/2033;635612,9
01/04/2033;635612,9
01/05/2033;635612,9
01/06/2033;635612,9
01/07/2033;552633,33
01/08/2033;552633,33
01/09/2033;552633,33
01/10/2033;552633,33
01/11/2033;552633,33
01/12/2033;552633,33
01/01/2034;612653,85
01/02/2034;612653,85
01/03/2034;612653,85
01/04/2034;612653,85
01/05/2034;612653,85
01/06/2034;612653,85
01/07/2034;612653,85
01/08/2034;612653,85
01/09/2034;612653,85
01/10/2034;612653,85
01/11/2034;612653,85
01/12/2034;612653,85
